DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,6.7474655392619,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.67273854981,12.3904922166682,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,6.56202675705254,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.47238180529744,12.2099381511765,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,6.35653785328371,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.2985894674531,12.1171258030874,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,6.14244367334113,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,3.14186144471834,11.9317752063781,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,5.94316233089138,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,2.96371639241971,11.8154668598828,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,10.4795629586564,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.83933182762774,12.5138299253105,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,10.2790969681881,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.47253861827572,12.5736349526525,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,10.0626514100816,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.07843599648853,12.6318877075702,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,9.8270539875825,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,7.63306942487663,12.664552743156,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ATG: Antigua and Barbuda,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,9.58318101090616,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,7.2078392422078,12.7291641585721,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUREC_AMU: Arab Maghreb Union (AMU),CME_MRY0T4: Under-five mortality rate,_T: Total,2018,22.6677358439983,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
