ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,FactValueNumeric,Value,Language,DateModified
WPR,Western Pacific,Country,FJI,Fiji,Year,2019,TRUE,38.52,38.52,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,FIN,Finland,Year,2021,TRUE,140.1,140.13,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,FRA,France,Year,2021,TRUE,94.22,94.22,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,GAB,Gabon,Year,2022,TRUE,23.7,23.7,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,GMB,Gambia,Year,2023,TRUE,6.58,6.58,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,GEO,Georgia,Year,2023,TRUE,59.67,59.67,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,DEU,Germany,Year,2022,TRUE,122.5,122.49,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,GHA,Ghana,Year,2023,TRUE,41.1,41.1,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,GRC,Greece,Year,2022,TRUE,41.14,41.14,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,GRD,Grenada,Year,2023,TRUE,45.77,45.77,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,GTM,Guatemala,Year,2023,TRUE,22.73,22.73,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,GIN,Guinea,Year,2022,TRUE,4.21,4.21,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,GNB,Guinea-Bissau,Year,2022,TRUE,9.9,9.9,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,GUY,Guyana,Year,2023,TRUE,39.27,39.27,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,HTI,Haiti,Year,2022,TRUE,7.32,7.32,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,HND,Honduras,Year,2023,TRUE,7.35,7.35,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,HUN,Hungary,Year,2022,TRUE,56.65,56.65,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,ISL,Iceland,Year,2023,TRUE,158.6,158.64,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,IND,India,Year,2020,TRUE,17.2,17.2,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,IDN,Indonesia,Year,2023,TRUE,32.4,32.4,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2023,TRUE,28.76,28.76,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2022,TRUE,26.48,26.48,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,IRL,Ireland,Year,2023,TRUE,147.8,147.77,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,ISR,Israel,Year,2023,TRUE,58.99,58.99,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,ITA,Italy,Year,2022,TRUE,67.55,67.55,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,JAM,Jamaica,Year,2023,TRUE,16.17,16.17,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,JPN,Japan,Year,2022,TRUE,129.8,129.78,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2023,TRUE,33.33,33.33,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,KAZ,Kazakhstan,Year,2023,TRUE,64.9,64.9,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,KEN,Kenya,Year,2023,TRUE,22.73,22.73,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,KIR,Kiribati,Year,2018,TRUE,36.28,36.28,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2020,TRUE,45.45,45.45,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2023,TRUE,40.76,40.76,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2023,TRUE,10.27,10.27,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,LVA,Latvia,Year,2022,TRUE,43.74,43.74,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2018,TRUE,19.18,19.18,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,LSO,Lesotho,Year,2022,TRUE,17.56,17.56,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,LBR,Liberia,Year,2022,TRUE,10.07,10.07,EN,2025-01-13T17:00:00.000Z
